"current_time","device_name","noise","gps_lat","gps_lng","gps_ccuracy","cell_db","cell_asu","wlan_ssid","wlan_signal_strength","wlan_encryption"
2016/05/23 15:03:05,OnePlus ONE A2003,42.63,52.311183699999994,4.950835699999999,null,99,106,,,
2016/05/23 15:03:15,OnePlus ONE A2003,51.74,52.311183699999994,4.950835699999999,null,99,106,,,
2016/05/23 15:03:25,OnePlus ONE A2003,24.2,52.311183699999994,4.950835699999999,null,99,106,,,
2016/05/23 15:03:35,OnePlus ONE A2003,24.2,52.311183699999994,4.950835699999999,null,99,106,,,
2016/05/23 15:03:45,OnePlus ONE A2003,24.2,52.311183699999994,4.950835699999999,null,99,106,,,
2016/05/23 15:03:55,OnePlus ONE A2003,24.2,52.311183699999994,4.950835699999999,null,99,106,,,
2016/05/23 15:04:05,OnePlus ONE A2003,24.2,52.311183699999994,4.950835699999999,null,99,106,,,
2016/05/23 15:04:15,OnePlus ONE A2003,24.2,52.311183699999994,4.950835699999999,null,99,106,,,
2016/05/23 15:04:25,OnePlus ONE A2003,24.2,52.311183699999994,4.950835699999999,null,99,106,,,
2016/05/23 15:04:35,OnePlus ONE A2003,24.2,52.311183699999994,4.950835699999999,null,99,106,,,
2016/05/23 15:04:45,OnePlus ONE A2003,24.2,52.311183699999994,4.950835699999999,null,99,106,,,
2016/05/23 15:04:56,OnePlus ONE A2003,24.2,52.311183699999994,4.950835699999999,null,99,106,,,
2016/05/23 15:05:06,OnePlus ONE A2003,24.2,52.311183699999994,4.950835699999999,null,99,106,,,
2016/05/23 15:05:16,OnePlus ONE A2003,24.2,52.311183699999994,4.950835699999999,null,99,106,,,
2016/05/23 15:05:26,OnePlus ONE A2003,24.2,52.311183699999994,4.950835699999999,null,99,106,,,
2016/05/23 15:05:36,OnePlus ONE A2003,24.2,52.311183699999994,4.950835699999999,null,99,106,,,
2016/05/23 15:05:48,OnePlus ONE A2003,24.2,52.3111837,4.9508357,null,99,106,,,
